Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTDs,Int,RushAtt,RushYds,RushY/A,RushTDs,Tgt,Rec,RecYds,Y/R,RecTDs,Fmb,FL,TotTDs,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Christian McCaffrey,SFO,RB,27,7,7,0,0,0,0,0,125,598,4.78,8,30,26,228,8.77,3,3,2,11,,,145.0,170.6,178.6,157.6,87.0,1,1.0
2,Tyreek Hill,MIA,WR,29,7,7,0,0,0,0,0,1,14,14.0,0,74,53,902,17.02,7,0,0,7,,,134.0,186.6,189.6,160.1,77.0,1,2.0
3,Raheem Mostert,MIA,RB,31,7,7,0,0,0,0,0,84,474,5.64,9,23,19,151,7.95,2,3,1,11,,,127.0,145.5,152.5,136.0,70.0,2,3.0
4,Travis Etienne,JAX,RB,24,7,7,0,0,0,0,0,127,504,3.97,7,29,24,196,8.17,0,0,0,7,1.0,,114.0,138.0,144.0,126.0,58.0,3,4.0
5,Josh Allen,BUF,QB,27,7,7,174,246,1841,15,7,29,148,5.1,4,0,0,0,,0,3,2,4,,1.0,156.0,156.4,171.4,163.4,47.0,1,5.0
6,Stefon Diggs,BUF,WR,30,7,7,0,0,0,0,0,0,0,,0,78,55,678,12.33,6,1,1,6,,,102.0,156.8,160.8,129.3,47.0,2,6.0
7,A.J. Brown,PHI,WR,26,7,7,0,0,0,0,0,0,0,,0,75,52,809,15.56,3,0,0,3,,,99.0,150.9,153.9,124.9,44.0,3,7.0
8,Jalen Hurts,PHI,QB,25,7,7,164,244,1821,9,8,74,274,3.7,6,0,0,0,,0,2,2,6,,,152.0,152.2,168.2,160.2,43.0,2,8.0
9,Kyren Williams,LAR,RB,23,6,5,0,0,0,0,0,97,456,4.7,6,24,13,105,8.08,1,1,0,7,,,98.0,111.1,117.1,104.6,43.0,4,9.0
10,Patrick Mahomes,KAN,QB,28,7,7,185,266,2017,15,6,33,214,6.48,0,0,0,0,,0,1,0,0,,,150.0,150.1,162.1,156.1,41.0,3,10.0
11,Zack Moss,IND,RB,26,6,5,0,0,0,0,0,114,523,4.59,4,19,15,115,7.67,1,0,0,5,1.0,,96.0,110.8,116.8,103.3,41.0,5,11.0
12,Travis Kelce,KAN,TE,34,6,6,0,0,0,0,0,0,0,,0,59,48,525,10.94,4,0,0,4,,,77.0,124.5,127.5,100.5,39.0,1,12.0
